,c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti,fe,combined_compositions,yield_strength,tensile_strength,elongation,combined_properties,elongation_predicted,combined_predicted,elongation_catagorised_true,elongation_catagorised_predicted
71,0.2,0.02,0.49,12.55,0.94,1.97,0.01,0.0,0.02,15.08,0.0,0.03,0.0,68.7,"[68.7, 0.2, 0.02, 0.49, 12.55, 0.94, 1.97, 0.01, 0.0, 0.02, 15.08, 0.0, 0.03, 0.0]",1258.6,1738.3,16.9,[1258.6 1738.3   16.9],14.783960604782969,[1431.65601363 1851.04700704   14.7839606 ],strong,strong
72,0.15,0.01,0.01,14.36,0.01,3.04,0.41,0.03,0.01,13.64,0.0,0.03,0.0,68.23,"[68.23, 0.15, 0.01, 0.01, 14.36, 0.01, 3.04, 0.41, 0.03, 0.01, 13.64, 0.0, 0.03, 0.0]",1233.3,1612.3,14.0,[1233.3 1612.3   14. ],14.115464293963367,[1346.80086811 1805.4003792    14.11546429],strong,strong
73,0.17,0.01,0.01,14.48,0.01,5.22,0.41,0.12,0.01,11.41,0.0,0.13,0.0,68.02,"[68.02, 0.17, 0.01, 0.01, 14.48, 0.01, 5.22, 0.41, 0.12, 0.01, 11.41, 0.0, 0.13, 0.0]",1536.5,2135.9,10.0,[1536.5 2135.9   10. ],7.37979837574775,[1442.02584555 2134.8993995     7.37979838],medium,medium
74,0.2,0.01,1.0,12.6,0.94,1.98,0.21,0.0,0.08,13.77,0.0,0.03,0.0,69.17,"[69.17, 0.2, 0.01, 1.0, 12.6, 0.94, 1.98, 0.21, 0.0, 0.08, 13.77, 0.0, 0.03, 0.0]",1344.4,1736.9,17.8,[1344.4 1736.9   17.8],13.555732120395827,[1428.24283392 1863.09828059   13.55573212],strong,strong
75,0.19,0.01,0.49,12.53,0.96,1.48,0.33,0.0,0.01,14.95,0.0,0.03,0.0,68.96,"[68.96, 0.19, 0.01, 0.49, 12.53, 0.96, 1.48, 0.33, 0.0, 0.01, 14.95, 0.0, 0.03, 0.0]",1218.4,1738.3,19.3,[1218.4 1738.3   19.3],14.658842784466584,[1435.33442913 1837.41400787   14.65884278],strong,strong
76,0.22,0.01,1.01,12.61,0.94,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0,69.32,"[69.32, 0.22, 0.01, 1.01, 12.61, 0.94, 1.98, 0.01, 0.0, 0.08, 13.78, 0.0, 0.03, 0.0]",1383.7,1773.6,16.2,[1383.7 1773.6   16.2],13.382200532460462,[1451.0191798  1898.34118597   13.38220053],strong,strong
77,0.24,0.01,0.01,8.9,7.4,1.7,0.28,0.0,0.01,13.0,0.0,0.03,0.03,68.42,"[68.42, 0.24, 0.01, 0.01, 8.9, 7.4, 1.7, 0.28, 0.0, 0.01, 13.0, 0.0, 0.03, 0.03]",1550.3,1940.7,14.3,[1550.3 1940.7   14.3],14.162753665158887,[1562.5257747  1892.41982162   14.16275367],strong,strong
78,0.25,0.01,0.01,14.09,0.93,2.0,0.01,0.0,0.08,13.88,0.0,0.03,0.0,68.71,"[68.71, 0.25, 0.01, 0.01, 14.09, 0.93, 2.0, 0.01, 0.0, 0.08, 13.88, 0.0, 0.03, 0.0]",1438.6,1826.1,11.0,[1438.6 1826.1   11. ],14.617920988630567,[1479.17568875 1906.50976256   14.61792099],strong,strong
79,0.01,0.01,0.01,8.84,10.81,1.19,0.41,0.0,0.01,9.24,0.0,0.43,0.57,68.48,"[68.48, 0.01, 0.01, 0.01, 8.84, 10.81, 1.19, 0.41, 0.0, 0.01, 9.24, 0.0, 0.43, 0.57]",1755.2,1820.7,,[1755.2 1820.7    nan],15.975344787575839,[1473.95684707 1619.56451225   15.97534479],,strong
80,0.01,0.04,0.04,9.9,6.99,2.75,0.0,0.0,0.0,8.02,2.43,1.8,0.0,68.03,"[68.03, 0.01, 0.04, 0.04, 9.9, 6.99, 2.75, 0.0, 0.0, 0.0, 8.02, 2.43, 1.8, 0.0]",1680.6,1768.7,6.5,[1680.6 1768.7    6.5],12.197593895902024,[1553.44429982 1687.54943756   12.1975939 ],medium,strong
81,0.01,0.01,0.01,0.01,14.6,3.1,0.01,0.0,0.01,15.4,0.0,0.03,0.12,66.7,"[66.7, 0.01, 0.01, 0.01, 0.01, 14.6, 3.1, 0.01, 0.0, 0.01, 15.4, 0.0, 0.03, 0.12]",1267.1,1331.5,15.8,[1267.1 1331.5   15.8],18.49797272819788,[1329.90291538 1467.58018046   18.49797273],strong,strong
82,0.02,0.01,1.82,13.9,5.1,0.02,0.01,0.0,0.01,8.9,0.0,0.02,0.04,70.14,"[70.14, 0.02, 0.01, 1.82, 13.9, 5.1, 0.02, 0.01, 0.0, 0.01, 8.9, 0.0, 0.02, 0.04]",1226.4,1329.8,17.0,[1226.4 1329.8   17. ],16.837947154233103,[1147.9357087  1425.81106578   16.83794715],strong,strong
83,0.01,0.01,0.01,7.74,11.91,0.98,0.01,0.0,0.01,9.95,0.0,0.27,0.71,68.38,"[68.38, 0.01, 0.01, 0.01, 7.74, 11.91, 0.98, 0.01, 0.0, 0.01, 9.95, 0.0, 0.27, 0.71]",1779.7,1856.2,,[1779.7 1856.2    nan],16.460562363534336,[1483.73478824 1632.55568674   16.46056236],,strong
84,0.21,0.01,0.01,14.08,0.93,2.0,0.01,0.0,0.08,13.83,0.0,0.03,0.0,68.8,"[68.8, 0.21, 0.01, 0.01, 14.08, 0.93, 2.0, 0.01, 0.0, 0.08, 13.83, 0.0, 0.03, 0.0]",1372.9,1800.2,16.8,[1372.9 1800.2   16.8],15.490505529631012,[1414.89859346 1817.79592508   15.49050553],strong,strong
85,0.35,0.01,0.01,9.0,1.5,2.0,0.3,0.0,0.01,18.0,0.0,0.03,0.02,68.81,"[68.81, 0.35, 0.01, 0.01, 9.0, 1.5, 2.0, 0.3, 0.0, 0.01, 18.0, 0.0, 0.03, 0.02]",1731.7,2232.4,,[1731.7 2232.4    nan],11.64776599477515,[1744.33621076 2223.76882692   11.64776599],,strong
86,0.0,0.01,0.01,11.11,10.0,1.23,0.01,0.0,0.01,7.51,0.28,0.57,0.59,68.69,"[68.69, 0.0, 0.01, 0.01, 11.11, 10.0, 1.23, 0.01, 0.0, 0.01, 7.51, 0.28, 0.57, 0.59]",1729.4,1817.2,,[1729.4 1817.2    nan],16.12881970945012,[1441.91375222 1587.70546442   16.12881971],,strong
87,0.19,0.01,0.5,12.53,0.95,1.48,0.01,0.0,0.01,15.02,0.0,0.03,0.0,69.27,"[69.27, 0.19, 0.01, 0.5, 12.53, 0.95, 1.48, 0.01, 0.0, 0.01, 15.02, 0.0, 0.03, 0.0]",1311.1,1789.4,16.2,[1311.1 1789.4   16.2],15.107358717476135,[1422.02180804 1825.16864532   15.10735872],strong,strong
88,0.01,0.01,0.01,10.12,7.01,5.48,0.01,0.0,0.01,10.05,0.0,0.03,0.0,67.28,"[67.28, 0.01, 0.01, 0.01, 10.12, 7.01, 5.48, 0.01, 0.0, 0.01, 10.05, 0.0, 0.03, 0.0]",1486.2,1700.3,14.6,[1486.2 1700.3   14.6],18.610055452308988,[1082.32216048 1325.80411697   18.61005545],strong,strong
89,0.04,0.01,0.01,0.01,18.8,6.0,0.01,0.0,0.01,8.0,0.0,0.16,0.42,66.54,"[66.54, 0.04, 0.01, 0.01, 0.01, 18.8, 6.0, 0.01, 0.0, 0.01, 8.0, 0.0, 0.16, 0.42]",1012.8,1198.9,6.0,[1012.8 1198.9    6. ],15.294050196861399,[1420.23574654 1544.743219     15.2940502 ],medium,strong
90,0.15,0.01,0.01,14.01,0.93,1.99,0.01,0.0,0.08,13.76,0.0,0.03,0.0,69.07,"[69.07, 0.15, 0.01, 0.01, 14.01, 0.93, 1.99, 0.01, 0.0, 0.08, 13.76, 0.0, 0.03, 0.0]",1278.2,1610.8,17.7,[1278.2 1610.8   17.7],16.80885852716822,[1319.77666101 1685.27449574   16.80885853],strong,strong
91,0.17,0.01,0.78,12.54,0.95,1.99,0.01,0.0,0.08,13.99,0.0,0.03,0.0,69.42,"[69.42, 0.17, 0.01, 0.78, 12.54, 0.95, 1.99, 0.01, 0.0, 0.08, 13.99, 0.0, 0.03, 0.0]",1368.5,1727.5,17.3,[1368.5 1727.5   17.3],14.876810293684706,[1371.36524044 1778.33229621   14.87681029],strong,strong
92,0.21,0.01,0.56,12.54,0.99,1.97,0.34,0.0,0.08,13.76,0.0,0.03,0.0,69.52,"[69.52, 0.21, 0.01, 0.56, 12.54, 0.99, 1.97, 0.34, 0.0, 0.08, 13.76, 0.0, 0.03, 0.0]",1280.7,1772.2,12.5,[1280.7 1772.2   12.5],13.905439732112447,[1446.12464681 1861.94486464   13.90543973],strong,strong
93,0.18,0.11,0.09,0.01,17.8,0.02,4.32,0.0,0.01,8.06,0.0,0.11,0.08,69.23,"[69.23, 0.18, 0.11, 0.09, 0.01, 17.8, 0.02, 4.32, 0.0, 0.01, 8.06, 0.0, 0.11, 0.08]",1605.4,1639.8,13.0,[1605.4 1639.8   13. ],8.931034013056543,[1788.12217521 1876.15667501    8.93103401],strong,medium
94,0.21,0.01,0.73,12.51,0.94,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0,69.72,"[69.72, 0.21, 0.01, 0.73, 12.51, 0.94, 1.98, 0.01, 0.0, 0.08, 13.78, 0.0, 0.03, 0.0]",1369.5,1759.4,,[1369.5 1759.4    nan],14.069165453835911,[1432.64897759 1857.73728565   14.06916545],,strong
95,0.01,0.01,1.72,15.7,4.1,0.02,0.01,0.0,0.01,7.4,0.0,0.02,0.04,70.94,"[70.94, 0.01, 0.01, 1.72, 15.7, 4.1, 0.02, 0.01, 0.0, 0.01, 7.4, 0.0, 0.02, 0.04]",1205.8,1281.5,16.0,[1205.8 1281.5   16. ],17.256952102591033,[1095.41392271 1366.35640099   17.2569521 ],strong,strong
96,0.19,0.01,0.73,12.47,0.95,1.97,0.01,0.0,0.08,13.78,0.0,0.03,0.0,69.76,"[69.76, 0.19, 0.01, 0.73, 12.47, 0.95, 1.97, 0.01, 0.0, 0.08, 13.78, 0.0, 0.03, 0.0]",1275.3,1741.8,17.6,[1275.3 1741.8   17.6],14.503787373736785,[1401.05551874 1813.64029442   14.50378737],strong,strong
97,0.22,0.01,0.01,8.49,4.6,1.5,0.28,0.0,0.01,15.3,0.5,0.03,0.03,69.0,"[69.0, 0.22, 0.01, 0.01, 8.49, 4.6, 1.5, 0.28, 0.0, 0.01, 15.3, 0.5, 0.03, 0.03]",1575.5,1998.1,14.7,[1575.5 1998.1   14.7],14.096763709389982,[1537.88525651 1890.75341901   14.09676371],strong,strong
98,0.21,0.01,0.5,12.55,0.94,1.98,0.01,0.0,0.08,13.75,0.0,0.03,0.0,69.89,"[69.89, 0.21, 0.01, 0.5, 12.55, 0.94, 1.98, 0.01, 0.0, 0.08, 13.75, 0.0, 0.03, 0.0]",1369.5,1767.4,17.7,[1369.5 1767.4   17.7],14.455359440439356,[1428.94252652 1841.5860009    14.45535944],strong,strong
99,0.23,0.01,0.52,12.47,0.95,1.97,0.01,0.0,0.08,13.78,0.0,0.03,0.0,69.93,"[69.93, 0.23, 0.01, 0.52, 12.47, 0.95, 1.97, 0.01, 0.0, 0.08, 13.78, 0.0, 0.03, 0.0]",1359.7,1809.9,7.3,[1359.7 1809.9    7.3],13.982521247781184,[1462.34724585 1887.24590433   13.98252125],medium,strong
100,0.03,0.01,0.01,0.01,18.4,4.9,0.01,0.0,0.01,7.0,0.0,0.15,1.77,67.7,"[67.7, 0.03, 0.01, 0.01, 0.01, 18.4, 4.9, 0.01, 0.0, 0.01, 7.0, 0.0, 0.15, 1.77]",1233.3,1378.0,24.0,[1233.3 1378.    24. ],10.458631218791679,[1840.81365725 2009.8805406    10.45863122],strong,strong
101,0.19,0.01,0.5,12.64,0.98,1.95,0.01,0.0,0.02,13.67,0.0,0.03,0.0,69.98,"[69.98, 0.19, 0.01, 0.5, 12.64, 0.98, 1.95, 0.01, 0.0, 0.02, 13.67, 0.0, 0.03, 0.0]",1376.3,1732.4,17.7,[1376.3 1732.4   17.7],14.892341502459356,[1399.64097795 1797.57162221   14.8923415 ],strong,strong
102,0.2,0.01,0.01,13.82,1.13,0.99,0.01,0.0,0.09,13.74,0.0,0.03,0.0,69.98,"[69.98, 0.2, 0.01, 0.01, 13.82, 1.13, 0.99, 0.01, 0.0, 0.09, 13.74, 0.0, 0.03, 0.0]",1376.7,1809.3,18.0,[1376.7 1809.3   18. ],15.95843977022638,[1413.58393001 1787.09371939   15.95843977],strong,strong
103,0.21,0.01,0.01,14.04,0.01,1.99,0.01,0.0,0.08,13.79,0.0,0.03,0.0,69.85,"[69.85, 0.21, 0.01, 0.01, 14.04, 0.01, 1.99, 0.01, 0.0, 0.08, 13.79, 0.0, 0.03, 0.0]",1348.9,1727.5,9.6,[1348.9 1727.5    9.6],15.42303360345507,[1408.52115453 1813.46554538   15.4230336 ],medium,strong
104,0.21,0.01,0.37,12.59,0.96,1.98,0.01,0.0,0.08,13.75,0.0,0.03,0.0,69.96,"[69.96, 0.21, 0.01, 0.37, 12.59, 0.96, 1.98, 0.01, 0.0, 0.08, 13.75, 0.0, 0.03, 0.0]",1332.7,1774.1,16.8,[1332.7 1774.1   16.8],14.683700838743635,[1427.36705532 1833.2644893    14.68370084],strong,strong
105,0.01,0.01,0.01,0.01,17.0,4.8,0.34,0.0,0.01,8.7,0.0,0.39,0.67,68.06,"[68.06, 0.01, 0.01, 0.01, 0.01, 17.0, 4.8, 0.34, 0.0, 0.01, 8.7, 0.0, 0.39, 0.67]",1287.3,1429.7,19.3,[1287.3 1429.7   19.3],14.15588382856046,[1540.44470816 1645.18811741   14.15588383],strong,strong
106,0.02,0.01,0.01,0.01,14.5,0.92,0.01,0.0,0.01,15.4,0.0,0.03,0.41,68.74,"[68.74, 0.02, 0.01, 0.01, 0.01, 14.5, 0.92, 0.01, 0.0, 0.01, 15.4, 0.0, 0.03, 0.41]",1212.0,1272.2,14.8,[1212.  1272.2   14.8],17.724158819591754,[1467.84156666 1587.38763782   17.72415882],strong,strong
107,0.01,0.05,0.05,0.01,17.4,4.97,0.01,0.0,0.01,7.9,0.0,0.13,1.5,68.0,"[68.0, 0.01, 0.05, 0.05, 0.01, 17.4, 4.97, 0.01, 0.0, 0.01, 7.9, 0.0, 0.13, 1.5]",2356.4,2404.6,,[2356.4 2404.6    nan],11.902645991216072,[1718.50949488 1878.11356334   11.90264599],,strong
108,0.2,0.01,0.3,12.46,0.95,1.97,0.01,0.0,0.08,13.75,0.0,0.03,0.0,70.26,"[70.26, 0.2, 0.01, 0.3, 12.46, 0.95, 1.97, 0.01, 0.0, 0.08, 13.75, 0.0, 0.03, 0.0]",1299.8,1770.2,13.6,[1299.8 1770.2   13.6],15.021104860765984,[1412.23299667 1806.84188499   15.02110486],strong,strong
109,0.16,0.01,0.01,14.26,0.01,4.93,0.46,0.03,0.01,10.55,0.0,0.04,0.0,69.55,"[69.55, 0.16, 0.01, 0.01, 14.26, 0.01, 4.93, 0.46, 0.03, 0.01, 10.55, 0.0, 0.04, 0.0]",1405.6,1894.8,14.0,[1405.6 1894.8   14. ],13.059192401278642,[1310.32778344 1773.99398179   13.0591924 ],strong,strong
110,0.02,0.01,0.01,0.01,14.7,0.02,0.01,0.0,0.01,15.5,0.0,0.03,0.43,69.23,"[69.23, 0.02, 0.01, 0.01, 0.01, 14.7, 0.02, 0.01, 0.0, 0.01, 15.5, 0.0, 0.03, 0.43]",1144.8,1176.2,16.5,[1144.8 1176.2   16.5],17.889607980256837,[1487.46393135 1591.46227419   17.88960798],strong,strong
111,0.2,0.01,0.01,12.39,1.21,2.01,0.01,0.0,0.08,13.82,0.0,0.03,0.0,70.22,"[70.22, 0.2, 0.01, 0.01, 12.39, 1.21, 2.01, 0.01, 0.0, 0.08, 13.82, 0.0, 0.03, 0.0]",1423.8,1818.8,16.5,[1423.8 1818.8   16.5],15.516471777884517,[1411.24908337 1790.04411917   15.51647178],strong,strong
112,0.0,0.01,0.01,14.3,8.3,2.6,0.01,0.0,0.01,4.3,0.0,0.1,0.49,69.9,"[69.9, 0.0, 0.01, 0.01, 14.3, 8.3, 2.6, 0.01, 0.0, 0.01, 4.3, 0.0, 0.1, 0.49]",1350.4,1478.0,,[1350.4 1478.     nan],17.65779102712512,[1199.96123297 1380.93784951   17.65779103],,strong
113,0.0,0.01,0.01,14.3,8.4,2.5,0.01,0.0,0.01,4.3,0.0,0.12,0.47,69.9,"[69.9, 0.0, 0.01, 0.01, 14.3, 8.4, 2.5, 0.01, 0.0, 0.01, 4.3, 0.0, 0.12, 0.47]",1274.7,1347.0,,[1274.7 1347.     nan],17.717614915041594,[1200.78483996 1377.55253703   17.71761492],,strong
114,0.02,0.01,1.93,13.9,6.0,0.02,0.01,0.0,0.01,6.0,0.0,0.03,0.05,72.0,"[72.0, 0.02, 0.01, 1.93, 13.9, 6.0, 0.02, 0.01, 0.0, 0.01, 6.0, 0.0, 0.03, 0.05]",1130.0,1212.6,14.0,[1130.  1212.6   14. ],16.41901742294045,[1128.8450374  1376.31552762   16.41901742],strong,strong
115,0.06,2.09,0.32,16.39,5.14,1.51,0.01,0.0,0.01,2.03,0.0,0.88,0.0,71.55,"[71.55, 0.06, 2.09, 0.32, 16.39, 5.14, 1.51, 0.01, 0.0, 0.01, 2.03, 0.0, 0.88, 0.0]",1237.0,1374.2,9.9,[1237.  1374.2    9.9],14.945461290592554,[1295.46003703 1488.92321747   14.94546129],medium,strong
116,0.19,0.01,0.01,12.61,0.99,1.98,0.01,0.0,0.07,13.79,0.0,0.03,0.0,70.31,"[70.31, 0.19, 0.01, 0.01, 12.61, 0.99, 1.98, 0.01, 0.0, 0.07, 13.79, 0.0, 0.03, 0.0]",1371.4,1730.5,15.6,[1371.4 1730.5   15.6],15.750681256289512,[1393.01160476 1767.58716291   15.75068126],strong,strong
117,0.2,0.01,0.01,11.94,2.48,0.99,0.01,0.0,0.1,13.64,0.0,0.03,0.0,70.55,"[70.55, 0.2, 0.01, 0.01, 11.94, 2.48, 0.99, 0.01, 0.0, 0.1, 13.64, 0.0, 0.03, 0.0]",1273.3,1640.2,18.6,[1273.3 1640.2   18.6],15.811492871233071,[1432.93122715 1781.83482513   15.81149287],strong,strong
118,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,68.82,"[68.82, 0.01, 0.01, 0.01, 0.01, 15.2, 5.1, 0.01, 0.0, 0.01, 9.2, 0.0, 0.9, 0.7]",1393.5,1521.4,13.8,[1393.5 1521.4   13.8],13.002185457321454,[1659.36684391 1764.45902947   13.00218546],strong,strong
119,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,9.2,0.0,0.92,0.7,68.92,"[68.92, 0.01, 0.01, 0.01, 0.01, 15.1, 5.1, 0.01, 0.0, 0.01, 9.2, 0.0, 0.92, 0.7]",1580.1,1719.1,10.2,[1580.1 1719.1   10.2],12.946402924964051,[1664.1754266  1768.85562082   12.94640292],strong,strong
120,0.02,0.01,1.92,15.5,3.9,0.02,0.01,0.0,0.01,6.0,0.0,0.04,0.07,72.51,"[72.51, 0.02, 0.01, 1.92, 15.5, 3.9, 0.02, 0.01, 0.0, 0.01, 6.0, 0.0, 0.04, 0.07]",1109.3,1178.2,12.0,[1109.3 1178.2   12. ],16.38033873818307,[1112.98853144 1384.25455224   16.38033874],strong,strong
121,0.23,0.01,0.36,12.6,0.95,1.97,0.01,0.0,0.08,12.77,0.0,0.03,0.0,70.99,"[70.99, 0.23, 0.01, 0.36, 12.6, 0.95, 1.97, 0.01, 0.0, 0.08, 12.77, 0.0, 0.03, 0.0]",1302.8,1721.7,18.1,[1302.8 1721.7   18.1],14.194547784285794,[1448.53724012 1854.3377582    14.19454778],strong,strong
122,0.25,0.01,0.01,9.0,6.2,1.3,0.29,0.0,0.01,12.2,0.0,0.03,0.03,70.72,"[70.72, 0.25, 0.01, 0.01, 9.0, 6.2, 1.3, 0.29, 0.0, 0.01, 12.2, 0.0, 0.03, 0.03]",1405.6,1798.3,16.0,[1405.6 1798.3   16. ],13.89587568734441,[1565.79794114 1889.79790483   13.89587569],strong,strong
123,0.02,0.01,0.01,0.01,18.6,5.1,0.01,0.0,0.01,6.7,0.0,0.12,0.89,68.57,"[68.57, 0.02, 0.01, 0.01, 0.01, 18.6, 5.1, 0.01, 0.0, 0.01, 6.7, 0.0, 0.12, 0.89]",1088.6,1226.4,21.0,[1088.6 1226.4   21. ],14.131287506610205,[1526.46667407 1637.25474068   14.13128751],strong,strong
124,0.02,0.01,0.01,0.01,18.6,5.1,0.01,0.0,0.01,6.9,0.0,0.12,0.64,68.53,"[68.53, 0.02, 0.01, 0.01, 0.01, 18.6, 5.1, 0.01, 0.0, 0.01, 6.9, 0.0, 0.12, 0.64]",1026.6,1178.2,14.0,[1026.6 1178.2   14. ],15.105052848936197,[1446.41574182 1544.4901536    15.10505285],strong,strong
125,0.24,0.01,0.01,8.9,5.1,1.7,0.29,0.0,0.01,13.0,0.0,0.03,0.03,70.7,"[70.7, 0.24, 0.01, 0.01, 8.9, 5.1, 1.7, 0.29, 0.0, 0.01, 13.0, 0.0, 0.03, 0.03]",1429.7,1925.8,15.5,[1429.7 1925.8   15.5],13.974406613530483,[1546.10587451 1883.85699522   13.97440661],strong,strong
126,0.22,0.01,0.01,3.03,11.17,1.18,0.01,0.0,0.01,13.89,0.0,0.03,0.01,70.39,"[70.39, 0.22, 0.01, 0.01, 3.03, 11.17, 1.18, 0.01, 0.0, 0.01, 13.89, 0.0, 0.03, 0.01]",1810.0,1970.0,12.2,[1810.  1970.    12.2],14.803635449592267,[1591.51924992 1835.55936882   14.80363545],strong,strong
127,0.01,0.01,0.01,0.01,15.3,5.1,0.01,0.0,0.01,9.1,0.0,0.6,0.68,69.19,"[69.19, 0.01, 0.01, 0.01, 0.01, 15.3, 5.1, 0.01, 0.0, 0.01, 9.1, 0.0, 0.6, 0.68]",1123.1,1198.9,13.0,[1123.1 1198.9   13. ],13.866041604316106,[1572.97694653 1686.43509869   13.8660416 ],strong,strong
128,0.15,0.01,0.01,9.0,4.8,1.5,0.5,0.0,0.01,13.0,0.0,0.03,0.02,70.99,"[70.99, 0.15, 0.01, 0.01, 9.0, 4.8, 1.5, 0.5, 0.0, 0.01, 13.0, 0.0, 0.03, 0.02]",1412.5,1688.1,10.0,[1412.5 1688.1   10. ],15.73967484401527,[1409.00932498 1691.08284832   15.73967484],medium,strong
129,0.2,0.01,0.01,10.53,2.49,1.98,0.01,0.0,0.1,13.67,0.0,0.03,0.0,70.98,"[70.98, 0.2, 0.01, 0.01, 10.53, 2.49, 1.98, 0.01, 0.0, 0.1, 13.67, 0.0, 0.03, 0.0]",1282.2,1668.7,17.8,[1282.2 1668.7   17.8],15.387082496291947,[1429.99523195 1783.77672781   15.3870825 ],strong,strong
130,0.23,0.01,0.01,3.11,11.26,1.19,0.01,0.0,0.01,13.48,0.0,0.01,0.01,70.62,"[70.62, 0.23, 0.01, 0.01, 3.11, 11.26, 1.19, 0.01, 0.0, 0.01, 13.48, 0.0, 0.01, 0.01]",1777.6,1954.6,15.6,[1777.6 1954.6   15.6],14.615117270291337,[1597.40949015 1844.09359162   14.61511727],strong,strong
131,0.03,0.01,0.01,0.01,15.0,5.0,0.01,0.0,0.2,8.8,0.0,0.98,0.26,69.68,"[69.68, 0.03, 0.01, 0.01, 0.01, 15.0, 5.0, 0.01, 0.0, 0.2, 8.8, 0.0, 0.98, 0.26]",1026.6,1164.4,35.0,[1026.6 1164.4   35. ],14.125551872045774,[1555.15780129 1643.37452688   14.12555187],strong,strong
132,0.03,0.01,0.01,0.01,18.3,5.1,0.01,0.0,0.01,6.7,0.0,0.11,0.7,68.99,"[68.99, 0.03, 0.01, 0.01, 0.01, 18.3, 5.1, 0.01, 0.0, 0.01, 6.7, 0.0, 0.11, 0.7]",1109.3,1281.5,18.0,[1109.3 1281.5   18. ],14.642415164873531,[1474.95956687 1581.66005954   14.64241516],strong,strong
133,0.1,0.62,0.37,12.195,0.01,6.15,0.01,0.03,0.01,10.2,0.0,0.03,0.0,70.25,"[70.25, 0.1, 0.62, 0.37, 12.195, 0.01, 6.15, 0.01, 0.03, 0.01, 10.2, 0.0, 0.03, 0.0]",1258.2,1650.9,12.0,[1258.2 1650.9   12. ],13.552306238241371,[1187.21363461 1642.92759182   13.55230624],strong,strong
134,0.22,0.01,0.01,3.11,11.22,1.19,0.01,0.0,0.01,13.51,0.0,0.01,0.01,70.65,"[70.65, 0.22, 0.01, 0.01, 3.11, 11.22, 1.19, 0.01, 0.0, 0.01, 13.51, 0.0, 0.01, 0.01]",1743.5,1925.4,16.8,[1743.5 1925.4   16.8],14.836199597649728,[1581.64073332 1822.8616587    14.8361996 ],strong,strong
135,0.21,0.01,0.01,3.1,11.18,1.19,0.01,0.0,0.01,13.52,0.0,0.01,0.01,70.77,"[70.77, 0.21, 0.01, 0.01, 3.1, 11.18, 1.19, 0.01, 0.0, 0.01, 13.52, 0.0, 0.01, 0.01]",1792.1,1991.2,15.0,[1792.1 1991.2   15. ],15.065096634329477,[1566.32382424 1801.70960653   15.06509663],strong,strong
136,0.23,0.01,0.01,3.1,11.08,1.19,0.01,0.0,0.01,13.49,0.0,0.01,0.01,70.83,"[70.83, 0.23, 0.01, 0.01, 3.1, 11.08, 1.19, 0.01, 0.0, 0.01, 13.49, 0.0, 0.01, 0.01]",1741.8,1933.4,15.6,[1741.8 1933.4   15.6],14.606499008829058,[1596.57894938 1843.87117703   14.60649901],strong,strong
137,0.23,0.01,0.01,3.11,11.16,1.18,0.01,0.0,0.01,13.46,0.0,0.01,0.01,70.83,"[70.83, 0.23, 0.01, 0.01, 3.11, 11.16, 1.18, 0.01, 0.0, 0.01, 13.46, 0.0, 0.01, 0.01]",1746.6,1945.8,14.8,[1746.6 1945.8   14.8],14.622864995516608,[1597.40230167 1843.95284849   14.622865  ],strong,strong
138,0.24,0.01,0.01,3.12,11.06,1.19,0.01,0.0,0.01,13.46,0.0,0.01,0.01,70.89,"[70.89, 0.24, 0.01, 0.01, 3.12, 11.06, 1.19, 0.01, 0.0, 0.01, 13.46, 0.0, 0.01, 0.01]",1804.2,2010.8,15.9,[1804.2 2010.8   15.9],14.39230864942322,[1612.29914006 1865.43184921   14.39230865],strong,strong
139,0.03,0.6,0.3,14.5,8.5,2.5,0.01,0.0,0.01,0.01,0.0,1.2,0.0,72.32,"[72.32, 0.03, 0.6, 0.3, 14.5, 8.5, 2.5, 0.01, 0.0, 0.01, 0.01, 0.0, 1.2, 0.0]",1478.4,1617.0,5.0,[1478.4 1617.     5. ],15.02720342791837,[1336.28263523 1439.89994904   15.02720343],medium,strong
140,0.21,0.01,0.01,3.11,11.11,1.19,0.01,0.0,0.01,13.48,0.0,0.01,0.01,70.87,"[70.87, 0.21, 0.01, 0.01, 3.11, 11.11, 1.19, 0.01, 0.0, 0.01, 13.48, 0.0, 0.01, 0.01]",1795.5,1991.9,13.4,[1795.5 1991.9   13.4],15.05789696360583,[1565.29990278 1800.5635474    15.05789696],strong,strong
141,0.23,0.01,0.02,3.12,11.03,1.2,0.01,0.0,0.01,13.45,0.0,0.01,0.01,70.91,"[70.91, 0.23, 0.01, 0.02, 3.12, 11.03, 1.2, 0.01, 0.0, 0.01, 13.45, 0.0, 0.01, 0.01]",1818.0,2022.2,14.4,[1818.  2022.2   14.4],14.587694005090711,[1595.93295609 1843.85527716   14.58769401],strong,strong
